ID,Status,Phase,Reason
0x01B0,SAFE,Gameplay,
0x01B1,SAFE,Gameplay,
0x01B2,SAFE,Gameplay,
0x01B3,SAFE,Gameplay,
0x01B4,SAFE,Gameplay,
0x01B5,SAFE,Gameplay,
0x01B6,SAFE,Other (0x3D),
0x01B7,SAFE,Gameplay,
0x01B8,SAFE,Gameplay,
0x01B9,SAFE,Gameplay,
0x01BA,SAFE,Gameplay,
0x01BB,SAFE,Gameplay,
0x01BC,SAFE,Gameplay,
0x01BD,SAFE,Gameplay,
0x01BE,SAFE,Gameplay,
0x01BF,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01C0,SAFE,Gameplay,
0x01C1,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01C2,SAFE,Gameplay,
0x01C3,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01C4,SAFE,Gameplay,
0x01C5,SAFE,Gameplay,
0x01C6,SAFE,Gameplay,
0x01C7,SAFE,Gameplay,
0x01C8,SAFE,Gameplay,
0x01C9,SAFE,Gameplay,
0x01CA,SAFE,Gameplay,
0x01CB,SAFE,Gameplay,
0x01CC,SAFE,Gameplay,
0x01CD,SAFE,Gameplay,
0x01CE,SAFE,Gameplay,
0x01CF,SAFE,Gameplay,
0x01D0,SAFE,Gameplay,
0x01D1,SAFE,Gameplay,
0x01D2,SAFE,Gameplay,
0x01D3,SAFE,Gameplay,
0x01D4,SAFE,Gameplay,
0x01D5,SAFE,Gameplay,
0x01D6,SAFE,Gameplay,
0x01D7,SAFE,Gameplay,
0x01D8,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01D9,SAFE,Gameplay,
0x01DA,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01DB,SAFE,Gameplay,
0x01DC,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01DD,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01DE,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01DF,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01E0,SAFE,Gameplay,
0x01E1,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01E2,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01E3,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01E4,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01E5,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01E6,SAFE,Gameplay,
0x01E7,SAFE,Gameplay,
0x01E8,SAFE,Gameplay,
0x01E9,SAFE,Gameplay,
0x01EA,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01EB,SAFE,Gameplay,
0x01EC,SAFE,Gameplay,
0x01ED,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01EE,SAFE,Gameplay,
0x01EF,SAFE,Gameplay,
0x01F0,SAFE,Gameplay,
0x01F1,SAFE,Gameplay,
0x01F2,SAFE,Gameplay,
0x01F3,SAFE,Gameplay,
0x01F4,SAFE,Gameplay,
0x01F5,SAFE,Gameplay,
0x01F6,SAFE,Gameplay,
0x01F7,SAFE,Gameplay,
0x01F8,SAFE,Gameplay,
0x01F9,SAFE,Gameplay,
0x01FA,SAFE,Gameplay,
0x01FB,SAFE,Gameplay,
0x01FC,SAFE,Gameplay,
0x01FD,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01FE,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x01FF,SAFE,Gameplay,
0x0200,SAFE,Gameplay,
0x0201,SAFE,Gameplay,
0x0202,SAFE,Gameplay,
0x0203,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x0204,SAFE,Gameplay,
0x0205,SAFE,Gameplay,
0x0206,SAFE,Gameplay,
0x0207,SAFE,Gameplay,
0x0208,SAFE,Gameplay,
0x0209,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 60 frames)
0x020A,SAFE,Gameplay,
0x020B,SAFE,Gameplay,
0x020C,SAFE,Gameplay,
0x020D,SAFE,Gameplay,
